Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3096.800,19.413,0.108,2.092,3.147,27.960,46.215,67.336,164.782,664.122,0.052
5,2850.800,21.259,0.110,1.994,2.945,32.445,59.675,82.572,137.737,390.315,0.047
10,2596.000,23.148,0.108,1.992,3.175,32.736,63.480,92.149,166.944,337.380,0.043
15,2684.800,22.199,0.110,2.003,3.207,31.975,63.451,87.529,151.682,473.072,0.045
20,2195.600,27.091,0.109,2.015,2.964,34.754,61.743,82.107,179.229,1139.966,0.037
25,2432.600,24.770,0.107,1.988,3.075,36.902,68.448,100.126,160.758,437.746,0.040
30,2763.200,21.632,0.106,1.987,3.259,29.594,58.697,85.571,170.588,573.350,0.046
35,2759.200,21.756,0.108,1.973,3.009,32.810,62.050,83.569,137.166,664.797,0.046
40,2387.400,25.159,0.108,1.971,3.100,34.602,69.836,105.086,182.462,402.477,0.040
45,1570.200,38.044,0.102,1.925,2.903,35.386,98.722,164.496,482.252,1182.662,0.026
50,2506.600,24.221,0.105,1.949,2.820,30.913,63.740,98.971,213.271,885.064,0.041
55,1738.200,35.118,0.104,1.897,2.851,39.687,99.922,156.829,359.134,982.043,0.028
60,1249.000,46.765,0.106,1.874,2.726,33.358,135.347,252.978,543.570,1113.233,0.021
65,1204.600,50.205,0.105,1.861,2.696,37.499,147.132,260.062,588.101,1420.608,0.020
70,1759.400,34.151,0.106,1.901,2.783,32.538,90.866,152.403,398.395,962.842,0.029
75,1026.600,60.540,0.106,1.862,2.753,39.816,152.032,309.538,872.356,2262.715,0.017
80,1512.800,37.819,0.101,1.937,3.758,41.378,97.102,166.743,421.882,972.062,0.026
85,1258.000,47.738,0.106,1.876,3.079,39.310,122.369,254.578,588.342,1431.811,0.021
90,1512.400,39.940,0.109,1.921,4.508,34.792,96.808,166.421,520.408,1640.649,0.025
95,1527.400,40.359,0.110,1.926,3.502,42.571,109.556,186.151,409.560,962.482,0.025
100,1276.000,47.212,0.111,1.923,3.514,45.663,130.989,230.089,565.160,1187.608,0.021
105,1126.800,52.586,0.108,1.901,3.913,45.282,135.789,258.499,681.618,1429.454,0.019
110,1111.400,52.686,0.109,1.897,2.935,41.485,139.559,236.495,727.529,1491.630,0.019
115,888.200,67.977,0.110,1.829,2.553,53.757,181.292,353.464,877.283,1793.091,0.015
120,1120.000,54.798,0.106,1.873,2.792,38.795,148.857,275.561,754.360,1635.184,0.018
125,1125.600,56.499,0.107,1.877,3.500,41.374,135.325,255.575,882.133,1735.270,0.018
130,811.400,72.844,0.109,1.818,2.538,46.125,177.567,405.520,1020.446,1916.815,0.014
135,921.400,65.675,0.102,1.856,2.673,49.837,155.514,291.045,978.969,2773.720,0.015
140,849.800,72.388,0.108,1.854,4.550,53.077,203.328,370.783,946.901,2030.488,0.014
145,668.000,83.291,0.101,1.847,2.848,55.670,232.225,496.938,1108.009,1753.999,0.012
150,785.800,76.123,0.110,1.886,3.536,63.420,220.299,378.897,941.757,2825.849,0.013
155,819.200,73.614,0.110,1.856,3.355,62.261,206.125,413.117,932.319,1940.020,0.014
160,702.400,87.077,0.107,1.834,3.163,81.543,258.460,505.206,920.042,1542.304,0.011
165,1209.600,47.318,0.108,1.904,4.634,40.660,119.063,264.231,509.258,1177.771,0.021
170,704.400,97.930,0.106,1.841,3.243,65.902,226.915,517.936,1403.670,2859.492,0.010
175,791.600,64.313,0.107,1.891,4.504,68.497,174.889,321.293,697.452,1234.667,0.016
180,1103.400,56.043,0.109,1.899,4.311,54.046,160.177,254.770,626.337,1651.101,0.018
185,654.600,88.311,0.111,1.849,3.416,60.934,288.672,560.350,897.431,1670.155,0.011
