Benchmark,sampling-base,sampling-uclocks,sampling-ol
auctionmark,732.6522222153028,370.49805552509235,161.58194234459734
chbenchmark,2342.2425571138665,2376.003733205223,2416.9923527800524
epinions,16334.73138751405,14316.218847407645,5755.628333274179
resourcestresser,2.058055525798931,1.751944444093569,2.0466666485684484
seats,466.8774968985069,519.7099996285517,209.78277693375173
sibench,687.1552670750826,782.1499979923722,734.3632746606091
smallbank,1808.604708369315,1841.6894243736108,1241.516372775041
tatp,31674.61893550354,34707.196397618405,22812.585554693746
tpcc,100.08166459239077,98.80083210532132,77.28833250033686
twitter,11687.459330634563,19416.241273691252,16173.090018377829
voter,2141.1244360024666,2100.81026195926,1171.234145937449
wikipedia,19495.75548715253,29509.51496167042,4952.57663613128
ycsb,7869.597042723271,9950.279269139872,9953.770022759425
